Protein.Group,Genes,Oxy8vs21_Log2FC,Oxy8vs21_tval,Oxy8vs21_pval,Oxy8vs21_FDR,Oxy60vs21_Log2FC,Oxy60vs21_tval,Oxy60vs21_pval,Oxy60vs21_FDR
Q3TKY6,CWC27,-0.1119174036742262,0.6582618033871932,0.5103699176058676,0.821952427479034,-0.2510802673707948,1.4495308798488096,0.14718938309466312,0.4670126524840272
Q3TLD5,URI1,-0.027349968056853052,0.06976749497313713,0.9443787193659798,0.9851025946852741,-0.27561297887035585,0.9640309509329722,0.33503040867547085,0.6880228206132629
Q3TLH4,PRRC2C,-0.06056208774523808,1.403266474512124,0.1605373914936966,0.5351752535246257,-0.21750265643967534,3.67891728507296,0.00023422621204815606,0.009826347276877404
Q3TRR0,MAP9,0.36114220541487485,-1.6722423558234594,0.0944765414097432,0.4207850800458154,0.05503666953752447,0.7585268087674796,0.44813567012289124,0.7643572387471195
Q3TSG4,ALKBH5,0.9722895247059978,-1.4642568115464878,0.14312379277786944,0.5094999346288362,0.21942282356261217,-0.3483268818380914,0.7275947076602773,0.9179515301163242
Q3TTA7,CBLB,-0.434904906230628,0.6343483040229895,0.5258535391114318,0.823717023514477,,,,
Q3TVA9,CCDC136,-0.227632492510529,1.4444993505144028,0.14859856229848697,0.5134673326370255,-0.029355903856500613,-0.013431044326106535,0.9892838992825491,0.995688250496488
Q3TVI8,PBXIP1,0.1219740938880156,-0.4995154020132086,0.6174163390777605,0.8666325720251864,-0.08747415744087987,0.20271704246145753,0.8393562017835718,0.9501892178556555
Q3TWL2,PIP4P1,-0.10137905131969917,0.2228514708946429,0.8236511071602876,0.9520178329659232,,,,
Q3TWW8,SRSF6,-0.19382959131207653,1.2131333138810374,0.2250788549766365,0.6085056823249371,-0.4679109699945018,2.494794258361775,0.0126030181263413,0.12565282436148542
Q3TXS7,PSMD1,,,,,0.3461693333240345,-0.9425967716101865,0.3458871917736759,0.7010581655351421
Q3TXT3,INIP,0.35476848528415095,-0.820947936097409,0.4116759247171322,0.7600636626316878,,,,
Q3TY60,FAM131B,0.09956809091561696,-0.6015430268734626,0.5474783627578002,0.8359926947245799,,,,
Q3TYD6,LMTK2,-0.10261654896573529,0.23938805037497218,0.8108046950984008,0.9472258025276555,-0.15162496689480273,0.8048795934061963,0.42088916534330356,0.75213662204351
